# Weather station Espoo / Tapiola, Finland, WMO_ID=2985,selection from 01.01.2019 till 19.10.2021, all days
# Encoding: UTF-8
# The data is provided by the website ""Reliable Prognosis"", rp5.kz
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.kz/archive.php?wmo_id=2985&lang=en
#
Local time in Espoo / Tapiola,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
22.12.2020 05:00,5.0,760.7,761.4,,97,Wind blowing from the south-west,5,9,,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,100-200,,,7.0,4.5,0.5,1,,,,
22.12.2020 02:00,4.4,760.9,761.5,,99,Wind blowing from the south-southwest,8,14,14,100%.,Shower(s) or intermittent precipitation. ,,,,,,100%.,50-100,,,8.0,4.2,0.1,1,,,,
21.12.2020 23:00,3.9,761.2,761.9,,97,Wind blowing from the south-southwest,6,9,11,100%.,"Rain, not freezing, moderate. ",,,,,,100%.,100-200,,,9.0,3.4,0.8,1,,,,
21.12.2020 20:00,3.5,761.5,762.2,,97,Wind blowing from the south-southwest,7,14,14,100%.,"Rain, not freezing, slight. ",,,2.8,3.8,,100%.,100-200,,,4.0,3.0,2,12,,,,
21.12.2020 17:00,3.6,762.0,762.7,,95,Wind blowing from the south-southwest,8,13,13,100%.,"Rain, not freezing, slight. ",,,,,,100%.,200-300,,,11.0,2.8,0.6,1,,,,
21.12.2020 14:00,2.9,762.9,763.6,,95,Wind blowing from the south-southwest,6,,13,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,100-200,,,4.0,2.2,No precipitation,1,,,,
21.12.2020 11:00,3.3,764.1,764.8,,96,Wind blowing from the south-southwest,8,12,13,100%.,Mist. ,,,,,,100%.,100-200,,,9.0,2.7,No precipitation,1,,,,
21.12.2020 08:00,3.6,764.5,765.3,,97,Wind blowing from the south-southwest,7,,12,100%.,Rain (not freezing). ,,,3.3,4.3,,100%.,100-200,,,5.0,3.1,0.6,12,,,,
21.12.2020 05:00,3.3,765.1,765.8,,99,Wind blowing from the south-southwest,8,11,12,100%.,Mist. ,,,,,,100%.,50-100,,,4.5,3.1,No precipitation,1,,,,
21.12.2020 02:00,3.8,765.7,766.4,,99,Wind blowing from the south-southwest,8,12,12,100%.,Drizzle (not freezing) or snow grains. ,,,,,,100%.,50-100,,,5.0,3.6,No precipitation,1,,,,
20.12.2020 23:00,4.1,765.7,766.4,,99,Wind blowing from the south-southwest,5,8,,100%.,"Drizzle, not freezing, slight. ",,,,,,100%.,50-100,,,2.3,3.9,0.1,1,,,,
20.12.2020 20:00,4.1,765.4,766.1,,99,Wind blowing from the south-southwest,6,9,,100%.,"Drizzle, not freezing, moderate. ",,,3.9,5.8,,100%.,50-100,,,2.9,3.9,1,12,,,,
20.12.2020 17:00,4.1,765.3,766.0,,97,Wind blowing from the south-southwest,7,11,11,100%.,"Drizzle, not freezing, slight. ",,,,,,100%.,100-200,,,4.4,3.7,0.1,1,,,,
20.12.2020 14:00,4.8,765.0,765.7,,97,Wind blowing from the south-west,6,,,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,100-200,,,3.5,4.4,0.1,1,,,,
20.12.2020 11:00,5.2,764.7,765.4,,97,Wind blowing from the south-west,6,10,,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,100-200,,,3.3,4.8,0.1,1,,,,
20.12.2020 08:00,5.8,763.8,764.5,,96,Wind blowing from the south-west,6,9,13,100%.,Mist. ,,,5.8,6.8,,100%.,100-200,,,4.0,5.2,0.1,12,,,,
20.12.2020 05:00,6.3,763.2,763.9,,87,Wind blowing from the south-west,8,12,15,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,20.0,4.2,No precipitation,1,,,,
20.12.2020 02:00,6.7,762.9,763.6,,93,Wind blowing from the south-west,8,12,12,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,16.0,5.6,No precipitation,1,,,,
19.12.2020 23:00,6.6,762.4,763.2,,98,Wind blowing from the south-west,6,,,100%.,Mist. ,,,,,,100%.,100-200,,,7.0,6.3,No precipitation,1,,,,
19.12.2020 20:00,5.9,762.3,763.0,,99,Wind blowing from the south-southwest,5,7,9,100%.,Drizzle (not freezing) or snow grains. ,,,2.0,6.0,,100%.,50-100,,,2.9,5.8,0.6,12,,,,
19.12.2020 17:00,5.8,762.3,763.0,,99,Wind blowing from the south-southwest,5,7,7,100%.,Precipitation ,,,,,,100%.,50-100,,,2.5,5.7,No precipitation,1,,,,
19.12.2020 14:00,5.6,762.4,763.1,,99,Wind blowing from the south-southwest,4,6,7,100%.,Drizzle (not freezing) or snow grains. ,,,,,,100%.,50-100,,,3.1,5.5,0.1,1,,,,
19.12.2020 11:00,3.0,762.8,763.5,,98,Wind blowing from the south-southeast,2,4,4,100%.,Mist. ,,,,,,100%.,100-200,,,2.8,2.7,No precipitation,1,,,,
19.12.2020 08:00,2.0,762.4,763.0,,95,Wind blowing from the south-southwest,1,2,4,100%.,No significant weather observed. ,,,2.0,3.9,,100%.,200-300,,,30.0,1.3,0.1,12,,,,
19.12.2020 05:00,2.2,762.3,763.0,,96,Wind blowing from the west,4,6,7,100%.,No significant weather observed. ,,,,,,100%.,100-200,,,16.0,1.6,No precipitation,1,,,,
19.12.2020 02:00,3.6,761.5,762.2,,99,Wind blowing from the west-northwest,3,4,5,100%.,No significant weather observed. ,,,,,,100%.,50-100,,,11.0,3.4,No precipitation,1,,,,
18.12.2020 23:00,3.7,760.0,760.7,,99,Wind blowing from the north,1,,2,100%.,Fog ,,,,,,100%.,50-100,,,1.0,3.6,No precipitation,1,,,,
18.12.2020 20:00,3.9,758.9,759.7,,99,Wind blowing from the east-northeast,3,,,100%.,Mist. ,,,2.5,4.1,,100%.,50-100,,,8.0,3.7,7,12,,,,
18.12.2020 17:00,3.8,758.9,759.6,,99,Wind blowing from the east-southeast,4,,7,100%.,"Drizzle, not freezing, heavy. ",,,,,,100%.,100-200,,,4.0,3.6,1,1,,,,
18.12.2020 14:00,2.9,759.4,760.0,,97,Wind blowing from the south-east,4,,,100%.,"Rain, not freezing, slight. ",,,,,,100%.,100-200,,,12.0,2.5,2,1,,,,
18.12.2020 11:00,2.7,760.3,761.1,,95,Wind blowing from the south-southeast,6,9,11,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,200-300,,,24.0,1.9,0.3,1,,,,
18.12.2020 08:00,3.2,761.1,761.8,,94,Wind blowing from the south-southeast,6,9,10,100%.,"Rain, not freezing, moderate. ",,,-0.1,4.4,,100%.,200-300,,,9.0,2.3,2,12,,,,
18.12.2020 05:00,4.0,762.3,763.0,,95,Wind blowing from the south,5,,,100%.,Rain (not freezing). ,,,,,,100%.,300-600,,,20.0,3.3,No precipitation,1,,,,
18.12.2020 02:00,4.2,763.6,764.2,,99,Wind blowing from the south-southeast,4,6,7,100%.,Shower(s) or intermittent precipitation. ,,,,,,100%.,50-100,,,3.9,4.0,No precipitation,1,,,,
17.12.2020 23:00,1.5,764.9,765.6,,98,Wind blowing from the east-southeast,3,5,,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,100-200,,,2.8,1.2,0.1,1,,,,
17.12.2020 20:00,0.0,765.6,766.3,,92,Wind blowing from the east-northeast,3,,,100%.,No significant weather observed. ,,,0.0,3.0,,100%.,200-300,,,14.0,-1.2,No precipitation,12,,,,
17.12.2020 17:00,0.2,765.9,766.6,,85,Wind blowing from the east-northeast,1,2,3,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,50.0,-2.0,No precipitation,1,,,,
17.12.2020 14:00,0.6,765.2,766.0,,88,Wind blowing from the west-northwest,1,2,4,70 – 80%.,Precipitation ,,,,,,70 – 80%.,300-600,,,50.0,-1.2,No precipitation,1,,,,
17.12.2020 11:00,1.7,764.6,765.4,,88,Wind blowing from the north-northwest,4,6,6,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,45.0,-0.1,No precipitation,1,,,,
17.12.2020 08:00,3.0,762.9,763.6,,84,Wind blowing from the west-northwest,5,7,7,100%.,No significant weather observed. ,,,3.0,4.9,,100%.,300-600,,,50.0,0.5,No precipitation,12,,,,
17.12.2020 05:00,3.6,761.5,762.1,,89,Wind blowing from the west,5,9,9,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,50.0,1.9,No precipitation,1,,,,
17.12.2020 02:00,3.7,760.3,760.9,,92,Wind blowing from the west,5,8,8,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,50.0,2.5,No precipitation,1,,,,
16.12.2020 23:00,3.8,758.5,759.2,,89,Wind blowing from the west-northwest,4,7,9,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,50.0,2.2,No precipitation,1,,,,
16.12.2020 20:00,4.8,756.7,757.5,,92,Wind blowing from the west,6,9,12,100%.,No significant weather observed. ,,,2.0,5.1,,100%.,200-300,,,19.0,3.6,3,12,,,,
16.12.2020 17:00,4.9,755.4,756.1,,97,Wind blowing from the west,4,6,7,100%.,Precipitation ,,,,,,100%.,100-200,,,5.0,4.4,0.1,1,,,,
16.12.2020 14:00,3.4,754.9,755.7,,96,Wind blowing from the south-southwest,7,,11,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,100-200,,,11.0,2.8,0.3,1,,,,
16.12.2020 11:00,2.7,756.1,756.7,,97,Wind blowing from the south-southwest,6,,11,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,100-200,,,3.8,2.3,0.1,1,,,,
16.12.2020 08:00,2.2,756.7,757.5,,96,Wind blowing from the south-southwest,6,12,12,100%.,"Rain, not freezing, slight. ",,,1.2,3.3,,100%.,200-300,,,8.0,1.6,9,12,,,,
16.12.2020 05:00,1.9,757.9,758.7,,97,Wind blowing from the south-southwest,5,8,9,100%.,"Rain, not freezing, slight. ",,,,,,100%.,200-300,,,9.0,1.4,0.8,1,,,,
16.12.2020 02:00,1.4,759.5,760.3,,97,Wind blowing from the south,5,,10,100%.,"Rain (or drizzle) and snow, slight. ",,,,,,100%.,100-200,,,5.0,0.9,0.9,1,,,,
15.12.2020 23:00,3.3,760.3,761.0,,96,Wind blowing from the south-southwest,6,9,11,100%.,"Drizzle, not freezing, moderate. ",,,,,,100%.,100-200,,,5.0,2.7,No precipitation,1,,,,
15.12.2020 20:00,3.0,760.8,761.5,,98,Wind blowing from the south,5,8,,100%.,"Drizzle, not freezing, heavy. ",,,0.9,3.0,,100%.,100-200,,,2.3,2.7,0.3,12,,,,
15.12.2020 17:00,2.9,761.8,762.5,,91,Wind blowing from the south-southwest,6,,,100%.,Mist. ,,,,,,100%.,200-300,,,9.0,1.5,No precipitation,1,,,,
15.12.2020 14:00,2.3,762.2,763.0,,89,Wind blowing from the south,8,12,12,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,11.0,0.7,No precipitation,1,,,,
15.12.2020 11:00,1.9,762.8,763.5,,89,Wind blowing from the south,6,,,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,14.0,0.3,No precipitation,1,,,,
15.12.2020 08:00,0.8,762.7,763.5,,95,Wind blowing from the south,4,7,7,100%.,Shower(s) or intermittent precipitation. ,,,-0.5,1.2,,100%.,200-300,,,11.0,0.1,0.2,12,,,,
15.12.2020 05:00,1.0,763.1,763.8,,81,Wind blowing from the south-east,3,5,,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,30.0,-2.0,No precipitation,1,,,,
15.12.2020 02:00,-0.2,763.3,763.9,,87,Wind blowing from the east-northeast,2,3,3,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,22.0,-2.1,No precipitation,1,,,,
14.12.2020 23:00,0.0,763.8,764.5,,84,Wind blowing from the east-northeast,3,,,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,29.0,-2.4,No precipitation,1,,,,
14.12.2020 20:00,-0.5,764.1,764.8,,86,Wind blowing from the east,2,2,3,100%.,No significant weather observed. ,,,-1.2,-0.5,,100%.,600-1000,,,22.0,-2.6,No precipitation,12,,,,
14.12.2020 17:00,-0.5,764.2,764.8,,82,Wind blowing from the east,2,3,3,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,25.0,-3.2,No precipitation,1,,,,
14.12.2020 14:00,-0.8,764.4,765.1,,83,Wind blowing from the north-east,2,,4,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,24.0,-3.3,No precipitation,1,,,,
14.12.2020 11:00,-1.1,764.6,765.4,,80,Wind blowing from the north-east,2,,,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,25.0,-4.1,No precipitation,1,,,,
14.12.2020 08:00,-1.1,764.1,764.8,,77,Wind blowing from the north-east,2,,4,100%.,No significant weather observed. ,,,-1.2,-0.6,,100%.,600-1000,,,30.0,-4.6,No precipitation,12,,,,
14.12.2020 05:00,-0.9,764.2,764.8,,73,Wind blowing from the south-southwest,1,2,3,100%.,Precipitation ,,,,,,100%.,600-1000,,,40.0,-5.2,No precipitation,1,,,,
14.12.2020 02:00,-0.6,764.1,764.8,,71,Wind blowing from the south-southeast,3,6,6,100%.,Snow ,,,,,,100%.,600-1000,,,40.0,-5.2,No precipitation,1,,,,
13.12.2020 23:00,-0.8,764.1,764.8,,75,Wind blowing from the south,2,4,4,100%.,"Snow, slight. ",,,,,,100%.,600-1000,,,30.0,-4.8,No precipitation,1,,,,
13.12.2020 20:00,-0.7,763.7,764.5,,75,Wind blowing from the south,3,5,6,100%.,"Snow, slight. ",,,-1.9,-0.1,,100%.,600-1000,,,30.0,-4.7,No precipitation,12,,,,
13.12.2020 17:00,-0.7,763.7,764.5,,77,Wind blowing from the south,2,4,6,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,30.0,-4.2,No precipitation,1,,,,
13.12.2020 14:00,-0.2,763.6,764.3,,77,Wind blowing from the south-southeast,3,5,6,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,40.0,-3.8,No precipitation,1,,,,
13.12.2020 11:00,-0.9,764.0,764.7,,77,Wind blowing from the south,7,10,10,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,35.0,-4.5,No precipitation,1,,,,
13.12.2020 08:00,-1.9,763.6,764.3,,84,Wind blowing from the south-east,4,9,9,100%.,No significant weather observed. ,,,-3.2,-0.2,,100%.,300-600,,,30.0,-4.3,No precipitation,12,,,,
13.12.2020 05:00,-2.7,763.8,764.5,,84,Wind blowing from the south-east,4,,10,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,19.0,-5.0,No precipitation,1,,,,
13.12.2020 02:00,-1.1,763.5,764.2,,86,Wind blowing from the east-southeast,3,,7,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,19.0,-3.2,No precipitation,1,,,,
12.12.2020 23:00,-0.4,763.1,763.9,,88,Wind blowing from the east-southeast,3,5,5,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,18.0,-2.2,No precipitation,1,,,,
12.12.2020 20:00,-0.2,762.9,763.6,,87,Wind blowing from the south-east,3,5,6,100%.,No significant weather observed. ,,,-0.3,3.3,,100%.,300-600,,,17.0,-2.1,0.1,12,,,,
12.12.2020 17:00,1.3,762.1,762.9,,86,Wind blowing from the south-east,3,6,,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,22.0,-0.8,No precipitation,1,,,,
12.12.2020 14:00,2.4,761.6,762.4,,86,Wind blowing from the east-southeast,5,9,9,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,23.0,0.3,No precipitation,1,,,,
12.12.2020 11:00,3.3,761.7,762.4,,94,Wind blowing from the east-southeast,4,8,8,100%.,Mist. ,,,,,,100%.,100-200,,,10.0,2.4,No precipitation,1,,,,
12.12.2020 08:00,2.6,761.8,762.5,,93,Wind blowing from the east-southeast,3,5,5,100%.,"Rain shower(s) or intermittent rain, slight. ",,,0.3,2.6,,100%.,200-300,,,21.0,1.6,0.4,12,,,,
12.12.2020 05:00,1.9,762.1,762.8,,95,Wind blowing from the south-east,3,6,6,100%.,"Rain, not freezing, slight. ",,,,,,100%.,200-300,,,14.0,1.1,0.2,1,,,,
12.12.2020 02:00,1.5,762.1,762.8,,89,Wind blowing from the east-southeast,3,5,,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,23.0,-0.2,No precipitation,1,,,,
11.12.2020 23:00,0.9,762.5,763.3,,87,Wind blowing from the south-east,2,4,6,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,30.0,-1.0,No precipitation,1,,,,
11.12.2020 20:00,0.3,762.3,763.0,,86,Wind blowing from the south-east,4,,8,100%.,No significant weather observed. ,,,-2.3,0.3,,100%.,300-600,,,23.0,-1.8,0.1,12,,,,
11.12.2020 17:00,-0.2,762.5,763.3,,85,Wind blowing from the south-east,3,5,,100%.,Snow ,,,,,,100%.,300-600,,,21.0,-2.4,No precipitation,1,,,,
11.12.2020 14:00,-0.6,762.5,763.3,,91,Wind blowing from the east-southeast,3,5,7,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,200-300,,,6.0,-1.9,0.1,1,,,,
11.12.2020 11:00,-0.4,763.1,763.8,,85,Wind blowing from the east-southeast,4,8,8,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,18.0,-2.7,No precipitation,1,,,,
11.12.2020 08:00,-2.3,763.6,764.3,,80,Wind blowing from the south-east,4,,8,100%.,No significant weather observed. ,,,-3.1,-0.2,,100%.,300-600,,,23.0,-5.4,No precipitation,12,,,,
11.12.2020 05:00,-2.6,764.0,764.8,,75,Wind blowing from the east-southeast,4,7,8,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,29.0,-6.4,No precipitation,1,,,,
11.12.2020 02:00,-1.7,764.7,765.4,,77,Wind blowing from the east-southeast,4,,,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,35.0,-5.3,No precipitation,1,,,,
10.12.2020 23:00,-1.0,765.7,766.4,,76,Wind blowing from the south-east,4,,8,"90  or more, but not 100%",No significant weather observed. ,,,,,,"10%  or less, but not 0",300-600,,,30.0,-4.7,No precipitation,1,,,,
10.12.2020 20:00,-0.2,765.9,766.6,,76,Wind blowing from the east-southeast,4,8,8,100%.,No significant weather observed. ,,,-1.8,-0.1,,100%.,300-600,,,25.0,-3.9,No precipitation,12,,,,
10.12.2020 17:00,-1.5,766.8,767.5,,77,Wind blowing from the east-southeast,3,,8,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,25.0,-5.1,No precipitation,1,,,,
10.12.2020 14:00,-1.5,767.5,768.3,,76,Wind blowing from the east-southeast,3,,,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,30.0,-5.2,No precipitation,1,,,,
10.12.2020 11:00,-1.1,768.2,769.0,,76,Wind blowing from the east-southeast,2,5,,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,25.0,-4.8,No precipitation,1,,,,
10.12.2020 08:00,-1.3,768.4,769.1,,80,Wind blowing from the south-southeast,4,6,6,100%.,No significant weather observed. ,,,,-1.0,,100%.,300-600,,,26.0,-4.4,No precipitation,12,,,,
10.12.2020 05:00,-1.3,768.6,769.3,,83,Wind blowing from the south,5,8,8,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,30.0,-3.9,No precipitation,1,,,,
10.12.2020 02:00,-2.2,769.4,770.1,,78,Wind blowing from the south,5,8,8,50%.,No significant weather observed. ,,,,,,50%.,300-600,,,30.0,-5.6,No precipitation,1,,,,
09.12.2020 23:00,-2.1,769.6,770.3,,73,Wind blowing from the south,4,7,8,no clouds,No significant weather observed. ,,,,,,,,,,30.0,-6.4,No precipitation,1,,,,
09.12.2020 20:00,-1.0,769.7,770.5,,70,Wind blowing from the south,5,8,8,100%.,No significant weather observed. ,,,-3.0,-0.9,,100%.,600-1000,,,27.0,-5.8,No precipitation,12,,,,
09.12.2020 17:00,-1.3,769.9,770.5,,79,Wind blowing from the south-southeast,5,,,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,20.0,-4.6,No precipitation,1,,,,
09.12.2020 14:00,-2.0,770.0,770.7,,77,Wind blowing from the south-southeast,5,,9,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,22.0,-5.5,No precipitation,1,,,,
09.12.2020 11:00,-2.0,770.4,771.1,,74,Wind blowing from the south-southeast,4,,11,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,27.0,-6.1,No precipitation,1,,,,
09.12.2020 08:00,-2.3,770.5,771.2,,72,Wind blowing from the south,6,,10,100%.,No significant weather observed. ,,,-3.1,0.1,,100%.,600-1000,,,29.0,-6.7,No precipitation,12,,,,
09.12.2020 05:00,-2.4,769.9,770.7,,64,Wind blowing from the south,6,10,12,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,600-1000,,,40.0,-8.4,No precipitation,1,,,,
09.12.2020 02:00,-0.9,769.6,770.4,,66,Wind blowing from the south-southeast,6,12,12,no clouds,No significant weather observed. ,,,,,,,,,,45.0,-6.6,No precipitation,1,,,,
08.12.2020 23:00,-0.1,769.9,770.7,,68,Wind blowing from the south-southeast,6,10,10,no clouds,No significant weather observed. ,,,,,,,,,,40.0,-5.4,No precipitation,1,,,,
08.12.2020 20:00,-0.1,769.9,770.7,,70,Wind blowing from the south-southeast,6,10,11,no clouds,No significant weather observed. ,,,-0.6,0.3,,,,,,35.0,-5.0,No precipitation,12,,,,
08.12.2020 17:00,0.3,769.7,770.5,,71,Wind blowing from the south-southeast,5,10,10,no clouds,No significant weather observed. ,,,,,,,,,,30.0,-4.4,No precipitation,1,,,,
08.12.2020 14:00,-0.3,769.6,770.3,,76,Wind blowing from the south,5,8,10,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,300-600,,,30.0,-4.0,No precipitation,1,,,,
08.12.2020 11:00,-0.2,769.6,770.3,,74,Wind blowing from the south-southeast,6,9,11,no clouds,No significant weather observed. ,,,,,,,,,,35.0,-4.3,No precipitation,1,,,,
08.12.2020 08:00,-0.4,769.1,769.9,,69,Wind blowing from the south-southeast,7,10,10,no clouds,No significant weather observed. ,,,-0.6,0.8,,,,,,30.0,-5.4,No precipitation,12,,,,
08.12.2020 05:00,-0.2,768.7,769.5,,68,Wind blowing from the south,7,13,13,no clouds,No significant weather observed. ,,,,,,,,,,45.0,-5.4,No precipitation,1,,,,
08.12.2020 02:00,-0.3,768.7,769.4,,62,Wind blowing from the south,8,13,14,no clouds,No significant weather observed. ,,,,,,,,,,40.0,-6.8,No precipitation,1,,,,
07.12.2020 23:00,0.1,768.4,769.1,,60,Wind blowing from the south,7,13,14,no clouds,No significant weather observed. ,,,,,,,,,,45.0,-6.9,No precipitation,1,,,,
07.12.2020 20:00,0.7,768.1,768.8,,64,Wind blowing from the south,9,13,13,no clouds,No significant weather observed. ,,,0.7,3.0,,,,,,45.0,-5.5,No precipitation,12,,,,
07.12.2020 17:00,1.9,767.9,768.6,,61,Wind blowing from the south-southeast,8,13,13,no clouds,No significant weather observed. ,,,,,,,,,,50.0,-4.9,No precipitation,1,,,,
07.12.2020 14:00,2.7,767.8,768.5,,55,Wind blowing from the south,6,11,12,no clouds,No significant weather observed. ,,,,,,,,,,45.0,-5.6,No precipitation,1,,,,
07.12.2020 11:00,2.6,768.0,768.7,,56,Wind blowing from the south,7,12,12,no clouds,No significant weather observed. ,,,,,,,,,,50.0,-5.3,No precipitation,1,,,,
07.12.2020 08:00,2.3,767.5,768.2,,56,Wind blowing from the south,8,12,12,no clouds,No significant weather observed. ,,,2.2,3.9,,,,,,50.0,-5.6,No precipitation,12,,,,
07.12.2020 05:00,2.9,767.2,767.8,,62,Wind blowing from the south,7,12,13,"10%  or less, but not 0",No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,50.0,-3.8,No precipitation,1,,,,
07.12.2020 02:00,3.4,767.2,767.9,,82,Wind blowing from the south,7,11,11,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,24.0,0.6,No precipitation,1,,,,
06.12.2020 23:00,3.9,766.9,767.7,,82,Wind blowing from the south-southeast,5,10,10,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,18.0,1.1,No precipitation,1,,,,
06.12.2020 20:00,3.6,767.0,767.8,,87,Wind blowing from the south,6,10,10,100%.,No significant weather observed. ,,,3.5,4.2,,100%.,300-600,,,13.0,1.6,No precipitation,12,,,,
06.12.2020 17:00,3.7,766.8,767.5,,87,Wind blowing from the south,5,8,11,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,13.0,1.7,No precipitation,1,,,,
06.12.2020 14:00,3.9,766.3,767.0,,90,Wind blowing from the south,6,,,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,16.0,2.4,No precipitation,1,,,,
06.12.2020 11:00,3.9,765.8,766.6,,90,Wind blowing from the south,6,10,11,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,18.0,2.4,No precipitation,1,,,,
06.12.2020 08:00,4.1,765.1,765.8,,90,Wind blowing from the south,7,11,12,100%.,No significant weather observed. ,,,3.7,4.6,,100%.,200-300,,,14.0,2.6,No precipitation,12,,,,
06.12.2020 05:00,3.8,764.5,765.2,,89,Wind blowing from the south,6,10,10,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,13.0,2.2,No precipitation,1,,,,
06.12.2020 02:00,3.9,764.1,764.8,,89,Wind blowing from the south,6,11,11,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,11.0,2.2,No precipitation,1,,,,
05.12.2020 23:00,4.2,763.8,764.5,,87,Wind blowing from the south,7,12,13,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,14.0,2.2,No precipitation,1,,,,
05.12.2020 20:00,4.5,762.9,763.6,,88,Wind blowing from the south,6,10,11,100%.,No significant weather observed. ,,,3.7,4.7,,100%.,300-600,,,14.0,2.7,No precipitation,12,,,,
05.12.2020 17:00,4.6,762.5,763.2,,91,Wind blowing from the south,6,11,11,100%.,Mist. ,,,,,,100%.,200-300,,,10.0,3.3,No precipitation,1,,,,
05.12.2020 14:00,4.2,761.9,762.6,,93,Wind blowing from the south,6,10,11,100%.,Mist. ,,,,,,100%.,100-200,,,9.0,3.2,No precipitation,1,,,,
05.12.2020 11:00,3.9,761.2,761.8,,93,Wind blowing from the south,7,12,14,100%.,Mist. ,,,,,,100%.,200-300,,,9.0,2.9,No precipitation,1,,,,
05.12.2020 08:00,3.7,760.4,761.2,,89,Wind blowing from the south,7,12,12,100%.,No significant weather observed. ,,,2.5,3.8,,100%.,300-600,,,17.0,2.0,1,12,,,,
05.12.2020 05:00,3.1,760.0,760.6,,88,Wind blowing from the south,7,12,13,100%.,Rain (not freezing). ,,,,,,100%.,300-600,,,16.0,1.3,No precipitation,1,,,,
05.12.2020 02:00,2.9,760.3,760.9,,90,Wind blowing from the south-southeast,8,13,13,100%.,"Rain, not freezing, slight. ",,,,,,100%.,300-600,,,11.0,1.4,0.3,1,,,,
04.12.2020 23:00,2.9,760.3,761.1,,84,Wind blowing from the south-southeast,6,11,12,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,300-600,,,18.0,0.4,No precipitation,1,,,,
04.12.2020 20:00,2.5,760.4,761.2,,82,Wind blowing from the south-southeast,7,11,14,100%.,No significant weather observed. ,,,0.1,2.5,,100%.,300-600,,,20.0,-0.3,2,12,,,,
04.12.2020 17:00,1.7,760.6,761.2,,84,Wind blowing from the south-east,7,12,13,100%.,Precipitation ,,,,,,100%.,300-600,,,18.0,-0.8,No precipitation,1,,,,
04.12.2020 14:00,0.9,761.4,762.1,,93,Wind blowing from the south-southeast,6,11,13,100%.,"Ice pellets, slight. ",,,,,,100%.,300-600,,,15.0,-0.1,0.2,1,,,,
