# Weather station Espoo / Tapiola, Finland, WMO_ID=2985,selection from 01.01.2019 till 19.10.2021, all days
# Encoding: UTF-8
# The data is provided by the website Reliable Prognosis, rp5.kz
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.kz/archive.php?wmo_id=2985&lang=en
#
Local time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
08.10.2020 15:00,14.1,759.1,759.7,,87,Wind blowing from the south-southeast,4,,10,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,300-600,,,19,11.9,No precipitation,1,,,,
08.10.2020 12:00,12.8,759.3,760,,94,Wind blowing from the south,4,8,8,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,16,11.8,No precipitation,1,,,,
08.10.2020 09:00,12,758.5,759.2,,99,Wind blowing from the south,4,6,6,60%.,Rain (not freezing). ,,,12,13.9,,"10%  or less, but not 0",100-200,,,6,11.9,2,12,,,,
08.10.2020 06:00,12.3,758.2,758.9,,98,Wind blowing from the south,3,6,8,100%.,"Rain, not freezing, slight. ",,,,,,60%.,200-300,,,6,12,0.5,1,,,,
08.10.2020 03:00,12.4,758.4,759.1,,96,Wind blowing from the south-east,3,5,5,"90  or more, but not 100%",Rain (not freezing). ,,,,,,"90  or more, but not 100%",300-600,,,22,11.8,0.1,1,,,,
08.10.2020 00:00,13.5,758,758.7,,88,Wind blowing from the south-east,4,,8,"90  or more, but not 100%",No significant weather observed. ,,,,,,"10%  or less, but not 0",1500-2000,,,29,11.6,No precipitation,1,,,,
07.10.2020 21:00,13,757.9,758.7,,92,Wind blowing from the east-southeast,3,4,,"90  or more, but not 100%",Drizzle (not freezing) or snow grains. ,,,11.7,13.8,,20–30%.,1500-2000,,,30,11.7,No precipitation,12,,,,
07.10.2020 18:00,13.3,757.8,758.5,,91,Wind blowing from the east-southeast,2,4,4,100%.,No significant weather observed. ,,,,,,"90  or more, but not 100%",1500-2000,,,30,11.8,No precipitation,1,,,,
07.10.2020 15:00,13.2,757.8,758.5,,86,Wind blowing from the south-east,4,6,,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,30,10.9,No precipitation,1,,,,
07.10.2020 12:00,12.7,757.4,758.1,,89,Wind blowing from the south-east,4,6,6,"90  or more, but not 100%",No significant weather observed. ,,,,,,20–30%.,200-300,,,30,10.9,No precipitation,1,,,,
07.10.2020 09:00,11.7,756.7,757.3,,94,Wind blowing from the south-southeast,3,5,6,70 – 80%.,No significant weather observed. ,,,10.9,13.5,,"10%  or less, but not 0",200-300,,,30,10.7,No precipitation,12,,,,
07.10.2020 06:00,11.7,756,756.7,,93,Wind blowing from the south,4,7,8,60%.,No significant weather observed. ,,,,,,60%.,"2500 or more, or no clouds.",,,26,10.6,No precipitation,1,,,,
07.10.2020 03:00,12.2,755.6,756.4,,91,Wind blowing from the south-southeast,5,10,11,50%.,No significant weather observed. ,,,,,,50%.,"2500 or more, or no clouds.",,,30,10.8,No precipitation,1,,,,
07.10.2020 00:00,12.9,755.3,756,,91,Wind blowing from the south,5,10,10,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",2000-2500,,,30,11.4,No precipitation,1,,,,
06.10.2020 21:00,13.4,754.7,755.4,,96,Wind blowing from the south,5,10,11,100%.,No significant weather observed. ,,,12.8,15.3,,100%.,1500-2000,,,23,12.7,0.9,12,,,,
06.10.2020 18:00,14.7,753.5,754.2,,84,Wind blowing from the south-southeast,6,11,11,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,35,12,No precipitation,1,,,,
06.10.2020 15:00,14.9,753.1,753.8,,84,Wind blowing from the south-east,5,8,11,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",1000-1500,,,22,12.2,No precipitation,1,,,,
06.10.2020 12:00,14.5,752.9,753.6,,80,Wind blowing from the east-southeast,6,11,13,no clouds,No significant weather observed. ,,,,,,,,,,24,11,No precipitation,1,,,,
06.10.2020 09:00,13.3,753.4,754.1,,87,Wind blowing from the east-southeast,6,11,13,100%.,"Rain shower(s) or intermittent rain, slight. ",,,11.7,14.7,,100%.,600-1000,,,20,11.1,6,12,,,,
06.10.2020 06:00,13.7,755.2,755.9,,98,Wind blowing from the east-southeast,5,8,10,100%.,Rain (not freezing). ,,,,,,100%.,100-200,,,9,13.4,0.2,1,,,,
06.10.2020 03:00,14.5,757.3,757.9,,98,Wind blowing from the east-southeast,5,8,8,100%.,"Rain, not freezing, moderate. ",,,,,,100%.,100-200,,,2.9,14.2,4,1,,,,
06.10.2020 00:00,14,758.8,759.5,,99,Wind blowing from the east-northeast,4,5,5,100%.,Mist. ,,,,,,100%.,100-200,,,6,13.8,No precipitation,1,,,,
05.10.2020 21:00,12.3,760.2,760.9,,97,Wind blowing from the east-northeast,3,,5,50%.,No significant weather observed. ,,,11.6,16.7,,50%.,600-1000,,,17,11.9,No precipitation,12,,,,
05.10.2020 18:00,13.8,760.9,761.5,,90,Wind blowing from the east,2,4,,no clouds,No significant weather observed. ,,,,,,,,,,14,12.1,No precipitation,1,,,,
05.10.2020 15:00,16.3,761.2,761.9,,78,Wind blowing from the south,3,7,,no clouds,No significant weather observed. ,,,,,,,,,,40,12.4,No precipitation,1,,,,
05.10.2020 12:00,15.7,760.9,761.6,,82,Wind blowing from the south-southwest,6,9,,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,40,12.7,No precipitation,1,,,,
05.10.2020 09:00,13.6,759.4,760.1,,92,Wind blowing from the south,5,10,10,no clouds,No significant weather observed. ,,,12.3,13.9,,,,,,28,12.3,0.2,12,,,,
05.10.2020 06:00,12.9,757.6,758.3,,96,Wind blowing from the east-southeast,4,,7,40%.,No significant weather observed. ,,,,,,40%.,600-1000,,,12,12.3,No precipitation,1,,,,
05.10.2020 03:00,13.3,757.4,758.1,,91,Wind blowing from the east,4,7,9,100%.,No significant weather observed. ,,,,,,100%.,1000-1500,,,12,11.9,No precipitation,1,,,,
05.10.2020 00:00,12.7,758.1,758.8,,92,Wind blowing from the east,5,9,14,100%.,No significant weather observed. ,,,,,,100%.,300-600,,,12,11.4,No precipitation,1,,,,
04.10.2020 21:00,12.5,758.8,759.5,,91,Wind blowing from the east,6,13,15,100%.,No significant weather observed. ,,,12,13.7,,100%.,300-600,,,13,11.1,2,12,,,,
04.10.2020 18:00,12.1,759.8,760.5,,95,Wind blowing from the east,6,11,14,100%.,"Rain, not freezing, slight. ",,,,,,100%.,200-300,,,8,11.3,0.2,1,,,,
04.10.2020 15:00,13.6,760.4,761.1,,81,Wind blowing from the east,7,15,15,"90  or more, but not 100%","Rain shower(s) or intermittent rain, slight. ",,,,,,"90  or more, but not 100%",600-1000,,,18,10.4,No precipitation,1,,,,
04.10.2020 12:00,13.5,761.4,762.1,,84,Wind blowing from the east,6,14,14,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,1000-1500,,,13,10.8,No precipitation,1,,,,
04.10.2020 09:00,13.1,762,762.7,,90,Wind blowing from the east,6,12,13,100%.,"Rain, not freezing, slight. ",,,13,14.5,,100%.,300-600,,,13,11.4,0.1,12,,,,
04.10.2020 06:00,13.1,762.5,763.2,,89,Wind blowing from the east,4,9,11,100%.,Rain (not freezing). ,,,,,,100%.,300-600,,,14,11.3,No precipitation,1,,,,
04.10.2020 03:00,13.4,763.5,764.2,,86,Wind blowing from the east,4,7,10,100%.,"Rain, not freezing, slight. ",,,,,,"90  or more, but not 100%",1000-1500,,,16,11.1,No precipitation,1,,,,
04.10.2020 00:00,13.8,764,764.7,,80,Wind blowing from the east,3,6,9,100%.,No significant weather observed. ,,,,,,100%.,1000-1500,,,20,10.4,No precipitation,1,,,,
03.10.2020 21:00,14.5,764.5,765.2,,75,Wind blowing from the east-southeast,6,10,11,100%.,No significant weather observed. ,,,12.1,14.9,,"10%  or less, but not 0",1000-1500,,,18,10.1,No precipitation,12,,,,
03.10.2020 18:00,14.1,764.7,765.4,,80,Wind blowing from the east,5,13,13,70 – 80%.,No significant weather observed. ,,,,,,"10%  or less, but not 0",1500-2000,,,18,10.6,No precipitation,1,,,,
03.10.2020 15:00,14.7,765.4,766.1,,77,Wind blowing from the east,5,9,9,100%.,No significant weather observed. ,,,,,,100%.,1500-2000,,,22,10.6,No precipitation,1,,,,
03.10.2020 12:00,13.7,766,766.6,,85,Wind blowing from the east,6,10,11,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,18,11.2,No precipitation,1,,,,
03.10.2020 09:00,12.1,766.3,766.9,,94,Wind blowing from the east,4,8,8,100%.,No significant weather observed. ,,,8.4,12.9,,100%.,2000-2500,,,15,11.2,No precipitation,12,,,,
03.10.2020 06:00,8.8,766.4,767.1,,100,Wind blowing from the north-east,3,5,6,no clouds,Mist. ,,,,,,,,,,4.8,8.8,No precipitation,1,,,,
03.10.2020 03:00,8.8,766.9,767.5,,98,Wind blowing from the north-east,4,5,5,no clouds,Mist. ,,,,,,,,,,7,8.5,No precipitation,1,,,,
03.10.2020 00:00,10.8,766.9,767.7,,91,Wind blowing from the east,3,,6,no clouds,No significant weather observed. ,,,,,,,,,,17,9.4,No precipitation,1,,,,
02.10.2020 21:00,11.2,766.6,767.4,,86,Wind blowing from the east-northeast,4,5,6,100%.,No significant weather observed. ,,,9.6,15.2,,100%.,1500-2000,,,22,9,No precipitation,12,,,,
02.10.2020 18:00,13.7,766.1,766.8,,70,Wind blowing from the east-northeast,4,7,10,no clouds,No significant weather observed. ,,,,,,,,,,29,8.3,No precipitation,1,,,,
02.10.2020 15:00,14.6,766.2,766.9,,72,Wind blowing from the east,5,9,10,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,1500-2000,,,29,9.6,No precipitation,1,,,,
02.10.2020 12:00,14.3,766.2,766.9,,83,Wind blowing from the east,3,,7,100%.,No significant weather observed. ,,,,,,100%.,1000-1500,,,17,11.4,No precipitation,1,,,,
02.10.2020 09:00,9.5,765.5,766.2,,100,Wind blowing from the east-northeast,3,5,5,60%.,Mist. ,,,7.8,11.5,,60%.,1000-1500,,,2.7,9.5,No precipitation,12,,,,
02.10.2020 06:00,8.2,764.8,765.4,,100,Wind blowing from the east-northeast,3,,,"90  or more, but not 100%",Mist. ,,,,,,"90  or more, but not 100%",1500-2000,,,2.3,8.2,No precipitation,1,,,,
02.10.2020 03:00,8.2,764.6,765.4,,99,Wind blowing from the east-northeast,3,,,100%.,Mist. ,,,,,,100%.,1000-1500,,,3.6,8,No precipitation,1,,,,
02.10.2020 00:00,9.6,764.4,765.1,,97,Wind blowing from the north-east,3,5,5,no clouds,No significant weather observed. ,,,,,,,,,,11,9.2,No precipitation,1,,,,
01.10.2020 21:00,11.5,764.2,764.8,,86,Wind blowing from the east-northeast,4,7,7,"10%  or less, but not 0",No significant weather observed. ,,,10.4,15.3,,"10%  or less, but not 0",1000-1500,,,29,9.2,No precipitation,12,,,,
01.10.2020 18:00,14.2,763.6,764.3,,69,Wind blowing from the east-northeast,5,8,8,no clouds,No significant weather observed. ,,,,,,,,,,30,8.6,No precipitation,1,,,,
01.10.2020 15:00,14.5,763.9,764.6,,71,Wind blowing from the east-northeast,5,6,6,no clouds,No significant weather observed. ,,,,,,,,,,27,9.2,No precipitation,1,,,,
01.10.2020 12:00,11.9,764.5,765.1,,85,Wind blowing from the east-northeast,5,6,6,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",200-300,,,18,9.4,No precipitation,1,,,,
01.10.2020 09:00,10.3,764.8,765.6,,99,Wind blowing from the east-northeast,4,7,7,100%.,Mist. ,,,8.9,,,100%.,100-200,,,6,10.2,No precipitation,12,,,,
01.10.2020 06:00,10.3,764.5,765.2,,99,Wind blowing from the north-east,3,6,6,100%.,Mist. ,,,,,,100%.,50-100,,,1.6,10.2,No precipitation,1,,,,
01.10.2020 03:00,9.5,765,765.7,,99,Wind blowing from the north-east,3,4,4,40%.,Mist. ,,,,,,40%.,100-200,,,7,9.4,No precipitation,1,,,,
01.10.2020 00:00,10.4,765.4,766,,97,Wind blowing from the north-east,2,4,5,no clouds,No significant weather observed. ,,,,,,,,,,10,10,No precipitation,1,,,,
30.09.2020 21:00,10.2,765.7,766.4,,99,Wind blowing from the east,2,3,4,50%.,Mist. ,,,10,15,,50%.,300-600,,,7,10,No precipitation,12,,,,
30.09.2020 18:00,13.2,765.2,765.9,,87,Wind blowing from the east,2,4,4,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,600-1000,,,35,11,No precipitation,1,,,,
30.09.2020 15:00,14.4,765.4,766.1,,78,Wind blowing from the east,3,4,6,"10%  or less, but not 0",No significant weather observed. ,,,,,,"10%  or less, but not 0",300-600,,,35,10.5,No precipitation,1,,,,
30.09.2020 12:00,14.2,765.5,766.2,,87,Wind blowing from the east-southeast,3,,7,60%.,No significant weather observed. ,,,,,,60%.,300-600,,,30,12,No precipitation,1,,,,
30.09.2020 09:00,12.7,765.3,766,,97,Wind blowing from the south-east,2,4,5,100%.,No significant weather observed. ,,,12.4,13,,100%.,200-300,,,17,12.3,0.7,12,,,,
30.09.2020 06:00,12.6,764.9,765.6,,98,Wind blowing from the east-southeast,2,5,5,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,15,12.3,No precipitation,1,,,,
30.09.2020 03:00,12.6,764.9,765.6,,99,Wind blowing from the east-southeast,2,3,3,100%.,"Drizzle, not freezing, heavy. ",,,,,,100%.,200-300,,,3.7,12.4,0.2,1,,,,
30.09.2020 00:00,12.8,765,765.7,,98,Wind blowing from the south-east,2,4,4,100%.,"Rain shower(s) or intermittent rain, slight. ",,,,,,100%.,50-100,,,6,12.5,0.1,1,,,,
29.09.2020 21:00,13,764.8,765.5,,98,Wind blowing from the east,3,,,100%.,"Rain shower(s) or intermittent rain, slight. ",,,12.8,14.1,,100%.,100-200,,,4.4,12.7,0.5,12,,,,
29.09.2020 18:00,13.5,764.3,765,,94,Wind blowing from the south-east,3,5,5,100%.,No significant weather observed. ,,,,,,100%.,100-200,,,17,12.5,No precipitation,1,,,,
29.09.2020 15:00,13.7,764.4,765.1,,93,Wind blowing from the south-east,3,5,5,100%.,No significant weather observed. ,,,,,,100%.,100-200,,,20,12.6,No precipitation,1,,,,
29.09.2020 12:00,13.5,764.3,765,,92,Wind blowing from the east,2,3,4,100%.,No significant weather observed. ,,,,,,100%.,200-300,,,30,12.2,No precipitation,1,,,,
29.09.2020 09:00,12.8,763.8,764.5,,94,Wind blowing from the east-southeast,2,4,4,100%.,Mist. ,,,12.2,14.1,,100%.,200-300,,,9,11.9,No precipitation,12,,,,
29.09.2020 06:00,12.5,763.5,764.2,,92,Wind blowing from the east-southeast,2,4,4,100%.,No significant weather observed. ,,,,,,100%.,1000-1500,,,22,11.3,No precipitation,1,,,,
29.09.2020 03:00,12.6,763.4,764.2,,91,Wind blowing from the south-east,3,5,6,100%.,No significant weather observed. ,,,,,,100%.,1000-1500,,,19,11.1,No precipitation,1,,,,
29.09.2020 00:00,12.5,763.7,764.4,,93,Wind blowing from the east,3,,6,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,1000-1500,,,19,11.4,No precipitation,1,,,,
28.09.2020 21:00,13.9,763.8,764.5,,74,Wind blowing from the east,4,7,8,100%.,No significant weather observed. ,,,12.5,15.7,,100%.,2000-2500,,,25,9.2,No precipitation,12,,,,
28.09.2020 18:00,14.4,763.5,764.2,,76,Wind blowing from the east,3,,,100%.,No significant weather observed. ,,,,,,100%.,"2500 or more, or no clouds.",,,24,10.1,No precipitation,1,,,,
28.09.2020 15:00,15.5,764,764.7,,68,Wind blowing from the east,4,6,7,no clouds,No significant weather observed. ,,,,,,,,,,24,9.5,No precipitation,1,,,,
28.09.2020 12:00,14.5,764.3,765.1,,81,Wind blowing from the east,3,6,9,no clouds,No significant weather observed. ,,,,,,,,,,18,11.2,No precipitation,1,,,,
28.09.2020 09:00,12.5,763.6,764.2,,94,Wind blowing from the east,4,7,7,no clouds,No significant weather observed. ,,,10.1,14.2,,,,,,17,11.6,No precipitation,12,,,,
28.09.2020 06:00,11,763.2,763.9,,99,Wind blowing from the east,3,6,6,no clouds,No significant weather observed. ,,,,,,,,,,11,10.9,No precipitation,1,,,,
28.09.2020 03:00,10.9,763.4,764.1,,99,Wind blowing from the north-east,3,4,5,no clouds,Mist. ,,,,,,,,,,6,10.7,No precipitation,1,,,,
28.09.2020 00:00,12.4,763.4,764.2,,95,Wind blowing from the east-northeast,3,5,5,no clouds,No significant weather observed. ,,,,,,,,,,16,11.6,No precipitation,1,,,,
27.09.2020 21:00,14,763,763.7,,83,Wind blowing from the east-northeast,4,6,7,no clouds,No significant weather observed. ,,,12.8,19.4,,,,,,23,11.2,No precipitation,12,,,,
27.09.2020 18:00,17.1,762.7,763.4,,65,Wind blowing from the east-northeast,4,7,8,no clouds,No significant weather observed. ,,,,,,,,,,26,10.5,No precipitation,1,,,,
27.09.2020 15:00,19,762.7,763.3,,55,Wind blowing from the east,5,9,9,no clouds,No significant weather observed. ,,,,,,,,,,30,9.7,No precipitation,1,,,,
27.09.2020 12:00,16.3,763,763.6,,77,Wind blowing from the east,4,7,7,no clouds,No significant weather observed. ,,,,,,,,,,25,12.3,No precipitation,1,,,,
27.09.2020 09:00,12.8,762.4,763,,99,Wind blowing from the east,3,7,7,no clouds,No significant weather observed. ,,,11,13.7,,,,,,18,12.7,No precipitation,12,,,,
27.09.2020 06:00,11.6,761.5,762.2,,100,Wind blowing from the east-northeast,4,5,5,no clouds,Mist. ,,,,,,,,,,6,11.6,No precipitation,1,,,,
27.09.2020 03:00,11.7,760.8,761.5,,99,Wind blowing from the north-east,4,5,5,no clouds,Mist. ,,,,,,,,,,3.2,11.6,No precipitation,1,,,,
27.09.2020 00:00,12.4,759.9,760.6,,98,Wind blowing from the east-northeast,4,5,5,no clouds,Mist. ,,,,,,,,,,5,12.1,No precipitation,1,,,,
26.09.2020 21:00,13.7,758.9,759.6,,93,Wind blowing from the east-northeast,3,,6,no clouds,No significant weather observed. ,,,13.7,16.9,,,,,,14,12.6,No precipitation,12,,,,
26.09.2020 18:00,16.3,757.6,758.3,,80,Wind blowing from the east,5,11,11,no clouds,No significant weather observed. ,,,,,,,,,,17,12.8,No precipitation,1,,,,
26.09.2020 15:00,16.6,757.2,757.9,,79,Wind blowing from the east,5,9,10,no clouds,No significant weather observed. ,,,,,,,,,,16,12.9,No precipitation,1,,,,
26.09.2020 12:00,16.2,756.5,757.2,,78,Wind blowing from the east,5,9,9,no clouds,No significant weather observed. ,,,,,,,,,,19,12.3,No precipitation,1,,,,
26.09.2020 09:00,13.9,755.7,756.4,,90,Wind blowing from the east,4,7,7,no clouds,No significant weather observed. ,,,12.6,14.7,,,,,,17,12.2,No precipitation,12,,,,
26.09.2020 06:00,12.7,755.2,755.9,,94,Wind blowing from the east,4,6,8,no clouds,No significant weather observed. ,,,,,,,,,,15,11.8,No precipitation,1,,,,
26.09.2020 03:00,14.2,755.4,756.1,,87,Wind blowing from the east,4,6,7,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%","2500 or more, or no clouds.",,,19,12,No precipitation,1,,,,
26.09.2020 00:00,14.1,755.5,756.2,,87,Wind blowing from the east,4,,6,70 – 80%.,No significant weather observed. ,,,,,,70 – 80%.,1500-2000,,,21,11.9,No precipitation,1,,,,
25.09.2020 21:00,13.5,755.5,756.2,,95,Wind blowing from the east-northeast,4,5,6,no clouds,No significant weather observed. ,,,13.5,16.8,,,,,,14,12.7,No precipitation,12,,,,
25.09.2020 18:00,16,755.5,756.2,,87,Wind blowing from the east-northeast,4,6,6,40%.,No significant weather observed. ,,,,,,40%.,1000-1500,,,18,13.8,No precipitation,1,,,,
25.09.2020 15:00,15.8,755.9,756.6,,91,Wind blowing from the south-east,2,3,4,"90  or more, but not 100%",Mist. ,,,,,,"90  or more, but not 100%",100-200,,,9,14.4,No precipitation,1,,,,
25.09.2020 12:00,16.3,755.5,756.2,,92,Wind blowing from the south-southeast,1,3,3,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",200-300,,,11,15,No precipitation,1,,,,
25.09.2020 09:00,14.2,754.6,755.3,,99,Wind blowing from the south-southeast,2,4,5,100%.,Mist. ,,,13,15.5,,100%.,200-300,,,4.4,14.1,No precipitation,12,,,,
25.09.2020 06:00,14.1,753.9,754.6,,98,Wind blowing from the south,5,7,8,"90  or more, but not 100%",Mist. ,,,,,,"10%  or less, but not 0",1500-2000,,,8,13.8,No precipitation,1,,,,
25.09.2020 03:00,14.3,753.5,754.2,,97,Wind blowing from the south-southwest,4,6,7,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",1000-1500,,,11,13.8,No precipitation,1,,,,
25.09.2020 00:00,13.9,753.4,754.1,,96,Wind blowing from the south-southeast,3,5,6,"90  or more, but not 100%",No significant weather observed. ,,,,,,60%.,1500-2000,,,19,13.2,No precipitation,1,,,,
24.09.2020 21:00,14.8,753.7,754.3,,93,Wind blowing from the south-southeast,4,7,,no clouds,No significant weather observed. ,,,11.6,18.3,,,,,,20,13.7,No precipitation,12,,,,
24.09.2020 18:00,16.8,753.5,754.2,,85,Wind blowing from the south-east,3,5,6,no clouds,No significant weather observed. ,,,,,,,,,,19,14.2,No precipitation,1,,,,
24.09.2020 15:00,17.6,754,754.6,,81,Wind blowing from the south-east,2,4,5,no clouds,No significant weather observed. ,,,,,,,,,,20,14.2,No precipitation,1,,,,
24.09.2020 12:00,15.8,754.3,754.9,,87,Wind blowing from the south-east,3,6,6,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%","2500 or more, or no clouds.",,,17,13.7,No precipitation,1,,,,
24.09.2020 09:00,11.5,754.1,754.8,,100,Wind blowing from the south-southeast,2,4,5,"90  or more, but not 100%",Mist. ,,,7.7,12.2,,"90  or more, but not 100%","2500 or more, or no clouds.",,,3.5,11.5,No precipitation,12,,,,
24.09.2020 06:00,7.9,754,754.6,,99,Wind blowing from the south-southeast,3,4,4,40%.,Mist. ,,,,,,40%.,300-600,,,6,7.8,No precipitation,1,,,,
24.09.2020 03:00,9.1,753.7,754.4,,100,Wind blowing from the south,3,4,5,"10%  or less, but not 0",Mist. ,,,,,,"10%  or less, but not 0",300-600,,,2.2,9.1,No precipitation,1,,,,
24.09.2020 00:00,10.1,753.7,754.3,,99,Wind blowing from the south,2,3,3,"10%  or less, but not 0",Fog or ice fog in patches. ,,,,,,"10%  or less, but not 0",1500-2000,,,1.6,10,No precipitation,1,,,,
23.09.2020 21:00,12.2,753.4,754.1,,98,Wind blowing from the south-west,1,3,3,"10%  or less, but not 0",Mist. ,,,11.8,16.6,,"10%  or less, but not 0",1500-2000,,,2.9,11.9,No precipitation,12,,,,
23.09.2020 18:00,15,753.2,753.9,,89,Wind blowing from the south-east,2,3,3,100%.,No significant weather observed. ,,,,,,20–30%.,1500-2000,,,14,13.1,No precipitation,1,,,,
23.09.2020 15:00,16.1,753.9,754.6,,81,Wind blowing from the south-southwest,3,5,8,no clouds,No significant weather observed. ,,,,,,,,,,23,12.9,No precipitation,1,,,,
23.09.2020 12:00,14.3,754.2,754.9,,83,Wind blowing from the south,6,8,8,no clouds,No significant weather observed. ,,,,,,,,,,21,11.5,No precipitation,1,,,,
23.09.2020 09:00,11.9,754.4,755.1,,96,Wind blowing from the south,2,5,7,"90  or more, but not 100%",No significant weather observed. ,,,8.3,12.1,,"90  or more, but not 100%",200-300,,,11,11.3,No precipitation,12,,,,
23.09.2020 06:00,11.2,754.8,755.5,,99,Wind blowing from the south-southwest,4,6,7,"90  or more, but not 100%",Mist. ,,,,,,"90  or more, but not 100%",300-600,,,3.7,11,No precipitation,1,,,,
23.09.2020 03:00,10.8,755.2,755.8,,99,Wind blowing from the south,3,5,5,100%.,No significant weather observed. ,,,,,,100%.,600-1000,,,16,10.6,No precipitation,1,,,,
23.09.2020 00:00,8.5,755.6,756.3,,99,Wind blowing from the south-west,1,2,3,"90  or more, but not 100%",Mist. ,,,,,,"90  or more, but not 100%",300-600,,,6,8.4,No precipitation,1,,,,
22.09.2020 21:00,10.6,755.8,756.4,,92,Wind blowing from the south-west,4,6,7,no clouds,No significant weather observed. ,,,10.6,16.2,,,,,,23,9.4,No precipitation,12,,,,
22.09.2020 18:00,13.1,755.5,756.1,,84,Wind blowing from the south-west,4,7,9,no clouds,No significant weather observed. ,,,,,,,,,,27,10.4,No precipitation,1,,,,
22.09.2020 15:00,15.7,754.5,755.2,,70,Wind blowing from the west,5,8,10,20–30%.,No significant weather observed. ,,,,,,20–30%.,"2500 or more, or no clouds.",,,35,10.2,No precipitation,1,,,,
22.09.2020 12:00,13.9,753.8,754.5,,81,Wind blowing from the west-southwest,4,7,9,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,30,10.6,No precipitation,1,,,,
22.09.2020 09:00,12.1,752.9,753.6,,91,Wind blowing from the west-southwest,4,7,7,"90  or more, but not 100%",No significant weather observed. ,,,11.7,13.9,,"90  or more, but not 100%",200-300,,,28,10.6,No precipitation,12,,,,
22.09.2020 06:00,12.1,752.5,753.1,,92,Wind blowing from the west-southwest,4,6,7,100%.,No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,26,10.9,No precipitation,1,,,,
22.09.2020 03:00,12.4,752.4,753.1,,91,Wind blowing from the south-west,5,7,9,50%.,No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,26,11,No precipitation,1,,,,
22.09.2020 00:00,13.8,753.1,753.7,,83,Wind blowing from the west-southwest,7,11,11,no clouds,No significant weather observed. ,,,,,,,,,,30,11,No precipitation,1,,,,
21.09.2020 21:00,13.4,753.7,754.4,,86,Wind blowing from the south-west,9,13,17,no clouds,No significant weather observed. ,,,11.4,15.1,,,,,,30,11,No precipitation,12,,,,
21.09.2020 18:00,14,755.6,756.3,,86,Wind blowing from the south-west,9,16,16,"90  or more, but not 100%",No significant weather observed. ,,,,,,"90  or more, but not 100%",300-600,,,26,11.7,No precipitation,1,,,,
21.09.2020 15:00,13.9,757.4,758.1,,81,Wind blowing from the south-west,7,,12,20–30%.,No significant weather observed. ,,,,,,"10%  or less, but not 0",300-600,,,35,10.7,No precipitation,1,,,,
21.09.2020 12:00,14.3,758.7,759.4,,65,Wind blowing from the south-west,3,7,7,no clouds,No significant weather observed. ,,,,,,,,,,40,7.7,No precipitation,1,,,,
21.09.2020 09:00,11.4,759.3,760,,89,Wind blowing from the west,4,7,7,"90  or more, but not 100%",No significant weather observed. ,,,9.7,12.6,,"90  or more, but not 100%","2500 or more, or no clouds.",,,35,9.6,No precipitation,12,,,,
21.09.2020 06:00,10.4,759,759.7,,90,Wind blowing from the west-southwest,4,5,6,no clouds,No significant weather observed. ,,,,,,,,,,45,8.8,No precipitation,1,,,,
21.09.2020 03:00,12.1,759.1,759.8,,91,Wind blowing from the west,4,6,6,"90  or more, but not 100%",No significant weather observed. ,,,,,,60%.,300-600,,,40,10.6,No precipitation,1,,,,
21.09.2020 00:00,12.1,759.3,760,,91,Wind blowing from the west-southwest,4,6,6,"90  or more, but not 100%",No significant weather observed. ,,,,,,,"2500 or more, or no clouds.",,,35,10.7,No precipitation,1,,,,
20.09.2020 21:00,11.9,760,760.7,,91,Wind blowing from the south-west,4,6,8,"10%  or less, but not 0",No significant weather observed. ,,,7.7,15.9,,"10%  or less, but not 0",300-600,,,30,10.4,No precipitation,12,,,,
20.09.2020 18:00,13.5,761.2,761.9,,77,Wind blowing from the south-west,6,9,9,60%.,No significant weather observed. ,,,,,,20–30%.,600-1000,,,35,9.5,No precipitation,1,,,,
